cddept,referenceprel,cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,libwebparametre,qualitparam,insituana,rqana,cdunitereferencesiseeaux,cdunitereference,limitequal,refqual,valtraduite,casparam,referenceanl
"02A","02A00109166","NH4","1335","AMMONIUM (EN NH4)","Ammonium (en NH4)",,"N","L","<0,05","mg/L","162","","<=0,1 mg/L","0.000000","14798-03-9","02A00108771"
"02A","02A00109166","ODQ","5901","ODEUR (QUALITATIF)","Odeur (qualitatif)",,"O","T","Aucun changement anormal","SANS OBJET","X","","","0.000000","",""
"02A","02A00109166","PH","1302","PH ","pH",,"N","L","7,1","unité pH","264","",">=6,5 et <=9 unité pH","7.100000","","02A00108771"
"02A","02A00109166","SAVQ","5902","SAVEUR (QUALITATIF)","Saveur (qualitatif)",,"O","T","Aucun changement anormal","SANS OBJET","X","","","0.000000","",""
"02A","02A00109166","STRF","6455","ENTÉROCOQUES /100ML-MS","Entérocoques /100ml-MS",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","02A00108771"
"02A","02A00109166","TEAU","1301","TEMPÉRATURE DE L'EAU","Température de l'eau",,"N","T","11,7","°C","27","","<=25 °C","11.700000","",""
"02A","02A00109166","TURBNFU","1295","TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU","Turbidité néphélométrique NFU",,"N","L","<0,5","NFU","232","","<=2 NFU","0.000000","","02A00108771"
"02A","02A00109167","ASP","6489","ASPECT (QUALITATIF)","Aspect (qualitatif)",,"O","L","Aspect normal","SANS OBJET","X","","","0.000000","","02A00108772"
"02A","02A00109167","BSIR","1042","BACT. ET SPORES SULFITO-RÉDU./100ML","Bact. et spores sulfito-rédu./100ml",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","02A00108772"
"02A","02A00109167","CDT25","1303","CONDUCTIVITÉ À 25°C","Conductivité à 25°C",,"N","L","80","µS/cm","147","",">=200 et <=1100 µS/cm","80.000000","","02A00108772"
"02A","02A00109167","CL2LIB","1398","CHLORE LIBRE","Chlore libre",,"N","T","0,58","mg(Cl2)/L","165","","","0.580000","",""
"02A","02A00109167","CL2TOT","1399","CHLORE TOTAL","Chlore total",,"N","T","0,61","mg(Cl2)/L","165","","","0.610000","",""
"02A","02A00109167","COULQ","5900","COULEUR (QUALITATIF)","Couleur (qualitatif)",,"O","T","Aucun changement anormal","SANS OBJET","X","","","0.000000","",""
"02A","02A00109167","CTF","1447","BACTÉRIES COLIFORMES /100ML-MS","Bactéries coliformes /100ml-MS",,"N","L","0","n/(100mL)","226","","<=0 n/(100mL)","0.000000","","02A00108772"
"02A","02A00109167","ECOLI","1449","ESCHERICHIA COLI /100ML - MF","Escherichia coli /100ml - MF",,"N","L","0","n/(100mL)","226","<=0 n/(100mL)","","0.000000","","02A00108772"
"02A","02A00109167","GT22_68","5440","BACT. AÉR. REVIVIFIABLES À 22°-68H","Bact. aér. revivifiables à 22°-68h",,"N","L","0","n/mL","222","","","0.000000","","02A00108772"
